name,url,date,wins,cluster
Juro Fukuda,http://boxrec.com/boxer/195508,1941-01-24,1,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-02-18,2,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-02-26,3,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-04-06,4,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-04-25,5,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-07-03,6,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-08-04,7,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-08-18,8,0
Juro Fukuda,http://boxrec.com/boxer/195508,1941-09-06,9,2
Juro Fukuda,http://boxrec.com/boxer/195508,1941-09-22,10,2
Juro Fukuda,http://boxrec.com/boxer/195508,1941-09-26,11,2
Juro Fukuda,http://boxrec.com/boxer/195508,1941-11-02,12,2
Juro Fukuda,http://boxrec.com/boxer/195508,1941-12-18,13,2
Juro Fukuda,http://boxrec.com/boxer/195508,1941-12-23,14,2
Juro Fukuda,http://boxrec.com/boxer/195508,1942-01-08,15,2
Juro Fukuda,http://boxrec.com/boxer/195508,1942-04-05,16,2
Juro Fukuda,http://boxrec.com/boxer/195508,1942-05-11,17,2
Juro Fukuda,http://boxrec.com/boxer/195508,1942-06-09,18,1
Juro Fukuda,http://boxrec.com/boxer/195508,1942-07-30,19,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-01-07,20,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-01-30,21,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-03-03,22,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-04-30,23,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-05-29,24,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-07-12,25,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-08-15,26,1
Juro Fukuda,http://boxrec.com/boxer/195508,1943-11-26,27,1
Rocky Marciano,http://boxrec.com/boxer/9032,1947-03-17,1,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-07-12,2,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-07-19,3,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-08-09,4,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-08-23,5,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-08-30,6,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-09-13,7,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-09-20,8,0
Rocky Marciano,http://boxrec.com/boxer/9032,1948-09-30,9,2
Rocky Marciano,http://boxrec.com/boxer/9032,1948-10-04,10,2
Rocky Marciano,http://boxrec.com/boxer/9032,1948-11-29,11,2
Rocky Marciano,http://boxrec.com/boxer/9032,1948-12-14,12,2
Rocky Marciano,http://boxrec.com/boxer/9032,1949-03-21,13,2
Rocky Marciano,http://boxrec.com/boxer/9032,1949-03-28,14,2
Rocky Marciano,http://boxrec.com/boxer/9032,1949-04-11,15,2
Rocky Marciano,http://boxrec.com/boxer/9032,1949-05-02,16,2
Rocky Marciano,http://boxrec.com/boxer/9032,1949-05-23,17,2
Rocky Marciano,http://boxrec.com/boxer/9032,1949-07-18,18,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-08-16,19,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-09-26,20,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-10-10,21,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-11-07,22,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-12-02,23,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-12-19,24,1
Rocky Marciano,http://boxrec.com/boxer/9032,1949-12-30,25,1
Rocky Marciano,http://boxrec.com/boxer/9032,1950-03-24,26,1
Rocky Marciano,http://boxrec.com/boxer/9032,1950-06-05,27,1
Rocky Marciano,http://boxrec.com/boxer/9032,1950-07-10,28,1
Rocky Marciano,http://boxrec.com/boxer/9032,1950-09-18,29,1
Rocky Marciano,http://boxrec.com/boxer/9032,1950-11-13,30,1
Rocky Marciano,http://boxrec.com/boxer/9032,1950-12-18,31,1
Rocky Marciano,http://boxrec.com/boxer/9032,1951-01-29,32,3
Rocky Marciano,http://boxrec.com/boxer/9032,1951-03-20,33,3
Rocky Marciano,http://boxrec.com/boxer/9032,1951-03-26,34,3
Rocky Marciano,http://boxrec.com/boxer/9032,1951-04-30,35,3
Rocky Marciano,http://boxrec.com/boxer/9032,1951-07-12,36,3
Rocky Marciano,http://boxrec.com/boxer/9032,1951-08-27,37,3
Rocky Marciano,http://boxrec.com/boxer/9032,1951-10-26,38,3
Rocky Marciano,http://boxrec.com/boxer/9032,1952-02-13,39,3
Rocky Marciano,http://boxrec.com/boxer/9032,1952-04-21,40,3
Rocky Marciano,http://boxrec.com/boxer/9032,1952-05-12,41,3
Rocky Marciano,http://boxrec.com/boxer/9032,1952-07-28,42,3
Dick Tobin,http://boxrec.com/boxer/118985,1952-08-11,1,0
Rocky Marciano,http://boxrec.com/boxer/9032,1952-09-23,43,3
Hilaire Pratesi,http://boxrec.com/boxer/56069,1952-10-20,1,0
Dick Tobin,http://boxrec.com/boxer/118985,1953-02-07,2,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-02-23,2,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-03-19,3,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-03-28,4,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-04-15,5,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-04-23,6,0
Dick Tobin,http://boxrec.com/boxer/118985,1953-05-09,3,0
Rocky Marciano,http://boxrec.com/boxer/9032,1953-05-15,44,3
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-05-17,7,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-05-31,8,0
Hilaire Pratesi,http://boxrec.com/boxer/56069,1953-07-04,9,2
